,centroid_x,centroid_y,hand_area,hand_perimeter,hand_area2per,rect_area,circle_area,line_slope,label
0,61,108,5039.0,355.1959581375122,14.186535304124092,8448,13273.228961416875,-10.38655462184874,U
1,51,98,5029.5,305.722869515419,16.451173600365344,7500,9852.03456165759,-1.6638655462184875,T
2,58,105,4505.0,301.6812393665314,14.932980285613963,5928,8494.8665353068,-390.21008403361344,E
3,57,110,4487.0,391.7056245803833,11.455030815058432,10500,11309.733552923255,1.5546218487394958,Y
4,63,109,2261.5,259.2964633703232,8.721676997075587,3648,7238.229473870883,12.621848739495798,A
5,56,109,3710.5,395.5807341337204,9.37988046390985,5885,9160.884177867836,-19.781512605042018,W
6,55,112,3667.0,312.16652059555054,11.746935555434023,6962,10935.88402714607,-24.42016806722689,R
7,71,87,3421.0,397.8477599620819,8.598766523974017,7236,9852.03456165759,0.058823529411764705,Q
8,51,98,6405.5,450.634556889534,14.214400342959513,11390,14526.724430199205,3.831932773109244,F
9,63,108,4844.5,300.9533175230026,16.097180917866847,6656,8824.73376393373,-54.90756302521008,N
10,51,103,4737.0,297.13708305358887,15.94213671117475,7128,9160.884177867836,-1.7394957983193278,T
11,57,108,4520.5,289.78174459934235,15.599671422539497,6060,8494.8665353068,-6.890756302521009,M
12,64,97,5564.5,344.7523070573807,16.14057364110356,8052,14102.60942196458,8.378151260504202,B
13,59,99,2981.0,221.1959581375122,13.476738115380861,4060,4778.362426110075,-2.46218487394958,S
14,53,104,4609.5,459.3208485841751,10.035468701689606,8576,14526.724430199205,-11.184873949579831,V
15,64,104,6130.5,332.8944424390793,18.415747511681275,8910,9852.03456165759,10.46218487394958,E
16,63,104,3574.5,419.37972366809845,8.523301910582823,6498,10207.034531513238,114.29411764705883,W
17,60,109,3115.5,308.4091612100601,10.101839996503886,5665,9160.884177867836,-4.436974789915967,X
18,73,107,4807.0,371.4213538169861,12.942174569662997,10094,10935.88402714607,1.319327731092437,Q
19,60,111,2801.0,248.22539567947388,11.28409924509436,4050,6647.610054996002,13.420168067226891,E
20,44,97,4961.5,416.4924215078354,11.91258170325834,9375,12867.963509103793,-7.722689075630252,C
21,53,111,3476.5,303.09545290470123,11.469984015540726,6496,10568.317686676064,-7.61344537815126,R
22,54,108,4483.0,288.99494767189026,15.512381915720422,6363,8494.8665353068,-8.579831932773109,N
23,72,86,3305.0,331.13708305358887,9.98076074573968,6480,10568.317686676064,0.3277310924369748,P
